ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,base_name
010869.OF,汇添富稳健欣享一年持有,混合型,混合型-偏股,-0.11,-0.13,0.8,2.75,1.78,-0.44,455,1856.0,64.44998083556919,3819.0,26.942212016838884,53.3,汇添富稳健欣享
011562.OF,汇添富稳健盈和一年持有,混合型,混合型-偏股,-0.71,-0.43,1.39,3.8,2.86,-0.16,455,2125.0,59.2947489459563,3434.0,34.30922311519326,57.9,汇添富稳健盈和
012459.OF,汇添富稳健睿享一年持有A,混合型,混合型-偏股,0.51,-0.25,0.16,3.0,3.08,-0.61,455,1978.0,62.111920275967805,4166.0,20.302334481438955,48.7,汇添富稳健睿享
019651.OF,汇添富稳健睿选一年持有B,混合型,混合型-偏股,-0.67,-0.76,0.84,3.08,2.36,-0.38,455,2408.0,53.87121502491377,3788.0,27.535399923459625,53.6,汇添富稳健睿选
010870.OF,汇添富稳健鑫添益六个月持有A,混合型,混合型-偏股,0.44,0.74,1.54,2.29,2.9,-0.2,455,1124.0,78.47834419317746,3345.0,36.01224646000766,57.2,汇添富稳健鑫添益
013123.OF,汇添富精选核心优势一年持有A,混合型,混合型-偏股,-2.38,-3.5,9.85,17.42,14.61,0.45,455,3729.0,28.55500191644308,905.0,82.70187523918867,66.3,汇添富精选核心优势
021515.OF,汇添富红利智选A,混合型,混合型-偏股,-0.87,2.31,4.59,8.89,8.18,0.29,455,601.0,88.50134151015715,2008.0,61.59586681974743,62.3,汇添富红利智选
013647.OF,汇添富经典价值成长一年持有,混合型,混合型-偏股,-0.56,-2.12,4.67,14.21,10.71,0.19,440,3162.0,39.42123418934458,1982.0,62.093379257558354,59.8,汇添富经典价值成长
015180.OF,汇添富美丽30D,混合型,混合型-偏股,1.5,0.05,10.29,16.5,11.69,0.5,455,1637.0,68.64699118436181,841.0,83.92652123995407,70.7,汇添富美丽30
012791.OF,汇添富聚焦经典一年持有A,混合型,混合型-偏股,-0.8,-1.65,5.73,14.09,11.63,0.26,440,2923.0,44.001533154465314,1664.0,68.17833907386147,61.7,汇添富聚焦经典
013369.OF,汇添富自主核心科技一年持有A,混合型,混合型-偏股,3.78,1.58,0.75,28.65,19.4,-0.04,455,785.0,84.97508623993868,3849.0,26.368159203980102,47.4,汇添富自主核心科技
013515.OF,汇添富蓝筹稳健C,灵活配置型,混合型-平衡,-0.43,-0.71,3.73,12.36,8.38,0.14,455,230.0,51.58562367864694,243.0,48.837209302325576,57.4,汇添富蓝筹稳健
015191.OF,汇添富行业整合主题D,混合型,混合型-偏股,2.06,4.12,11.98,12.0,11.94,0.83,455,329.0,93.71406669221923,624.0,88.07883658629927,78.4,汇添富行业整合主题
024061.OF,汇添富行业轮动90天持有A,混合型,混合型-偏股,-0.05,-0.66,5.26,10.92,6.59,0.3,279,2340.0,55.17439632042929,1828.0,65.04018369690013,64.7,汇添富行业轮动90天持有
015223.OF,汇添富进取成长A,混合型,混合型-偏股,2.69,0.45,9.19,16.51,13.86,0.44,455,1276.0,75.56535070908394,1004.0,80.80750095675468,66.3,汇添富进取成长
017608.OF,汇添富远景成长一年持有A,混合型,混合型-偏股,-3.09,-4.9,2.19,17.33,15.7,0.01,455,4123.0,21.00421617477961,2950.0,43.57060849598163,48.2,汇添富远景成长
021699.OF,汇添富远见成长A,混合型,混合型-偏股,-13.01,-18.25,-11.54,21.9,22.27,-0.62,455,5204.0,0.2874664622460665,5198.0,0.5549177190968257,38.7,汇添富远见成长
015182.OF,汇添富逆向投资D,混合型,混合型-偏股,4.59,6.48,14.79,15.29,12.5,0.84,455,179.0,96.58873131467996,371.0,92.920015308075,79.8,汇添富逆向投资
018440.OF,汇添富量化选股A,混合型,混合型-偏股,1.49,1.71,14.48,10.91,9.86,1.14,455,749.0,85.66500574932925,394.0,92.47990815154994,87.6,汇添富量化选股
019697.OF,汇添富鑫享添利六个月持有B,混合型,混合型-偏股,-0.14,-0.16,0.4,1.24,0.73,-1.29,455,1884.0,63.91337677270985,4063.0,22.273249138920782,46.0,汇添富鑫享添利
015241.OF,汇添富鑫添利6个月持有A,混合型,混合型-偏股,0.01,0.27,1.84,2.07,2.0,-0.08,444,1432.0,72.5756995017248,3158.0,39.59050899349407,60.8,汇添富鑫添利6个月持有
016036.OF,汇添富鑫添盈一年持有A,混合型,混合型-偏股,-0.1,0.01,0.14,2.1,2.0,-0.89,440,1680.0,67.82292065925641,4175.0,20.13011863758133,45.5,汇添富鑫添盈
017873.OF,汇添富香港优势精选C,混合型,混合型-偏股,-11.09,-9.67,-8.29,32.08,28.67,-0.32,444,4905.0,6.017631276351088,5137.0,1.7221584385763489,32.6,汇添富香港优势精选
018543.OF,汇添富黄金及贵金属C,股票型,主动股票型,,0.95,9.9,19.03,14.94,0.42,444,135.0,76.8166089965398,143.0,75.4325259515571,64.3,汇添富黄金及贵金属
021663.OF,汇百川远航A,混合型,混合型-偏股,3.64,2.1,16.19,14.11,18.88,1.01,455,643.0,87.69643541586815,266.0,94.92920015308076,77.0,汇百川远航
