ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
025774.OF,中金丰裕稳健一年持有C,混合型,混合型-偏股,-0.68,-1.13,0.41,3.75,1.8,-0.42,107,2653.0,49.1759294748946,4059.0,22.34978951396862,52.2,preferred,False,False,False,False,False,False,11.16300632695753,False
025772.OF,中金安心回报C,混合型,混合型-偏股,0.23,-0.12,2.4,3.33,1.4,0.12,107,1841.0,64.73744729781525,2869.0,45.120551090700346,59.4,watch,False,False,False,False,False,False,4.409880265094371,False
025771.OF,中金安心回报A,混合型,混合型-偏股,0.25,-0.08,2.47,3.33,1.39,0.14,107,1798.0,65.56151782292065,2848.0,45.52238805970149,60.2,watch,False,False,False,False,False,False,1.9781920675394593,False
025948.OF,交银远见成长A,混合型,混合型-偏股,-0.19,0.93,2.28,4.24,1.06,0.06,67,1034.0,80.2031429666539,2915.0,44.24033677765021,60.0,preferred,False,False,False,False,False,False,7.129079028141158,False
025081.OF,前海开源裕泰3个月持有C,混合型,混合型-偏股,-1.19,-1.6,8.33,16.37,5.82,0.39,57,2901.0,44.42315063242621,1163.0,77.76502104860315,71.6,preferred,False,True,False,False,True,False,34.044842516815685,False
025080.OF,前海开源裕泰3个月持有A,混合型,混合型-偏股,-1.16,-1.57,8.45,16.39,5.82,0.39,57,2889.0,44.65312380222307,1133.0,78.33907386146193,71.8,preferred,False,True,False,False,True,False,15.751136052002396,False
025314.OF,交银臻享多资产三个月持有C,混合型,混合型-偏股,-0.33,1.33,1.22,3.69,0.71,-0.21,33,876.0,83.23112303564584,3534.0,32.39571373899732,60.7,watch,False,False,False,False,False,False,2.732217267761746,False
025313.OF,交银臻享多资产三个月持有A,混合型,混合型-偏股,-0.3,1.43,1.34,3.73,0.72,-0.18,33,836.0,83.99770026830204,3465.0,33.71603520857253,61.8,preferred,False,False,False,False,False,False,14.996504056238857,False
026015.OF,宏利印度C,股票型,主动股票型,-3.69,-1.8,-7.07,9.19,9.84,-0.99,111,255.0,56.0553633217993,545.0,5.882352941176472,45.6,preferred,True,False,False,False,False,False,19.343972179521128,False
025814.OF,富国恒益3个月持有A,混合型,混合型-偏股,-0.41,-0.3,1.04,6.71,2.78,-0.14,45,2026.0,61.19202759678038,3661.0,29.96555683122847,58.3,watch,False,False,False,False,False,False,4.218042157020348,False
025924.OF,平安新能源精选C,混合型,混合型-偏股,0.19,-3.48,12.01,24.67,14.02,0.41,111,3721.0,28.708317362974324,619.0,88.17451205510906,65.4,preferred,False,False,False,False,False,False,14.650436454489636,False
025923.OF,平安新能源精选A,混合型,混合型-偏股,0.22,-3.43,12.14,24.69,13.98,0.41,111,3705.0,29.0149482560368,603.0,88.48067355530043,65.5,preferred,False,False,False,False,False,False,13.063870751524723,False
025688.OF,中金阿尔法优选A,混合型,混合型-偏股,0.09,-2.0,10.99,17.1,5.49,0.53,81,3117.0,40.28363357608279,761.0,85.45732874091084,78.4,watch,False,True,False,False,True,False,3.0908175728735943,False
025709.OF,汇添富价值驱动A,混合型,混合型-偏股,1.24,8.25,8.46,20.25,3.39,0.32,37,109.0,97.93024147182828,1131.0,78.37734404898585,73.0,preferred,False,True,False,False,True,False,18.715364778771814,False
025815.OF,富国恒益3个月持有C,混合型,混合型-偏股,-0.43,-0.34,0.94,6.72,2.78,-0.16,45,2051.0,60.712916826370254,3716.0,28.9131266743207,57.8,preferred,False,False,False,False,False,False,23.877615536699935,False
