ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
012064.OF,圆信永丰兴诺一年持有,灵活配置型,混合型-偏股,2.276486910386057,watch,-7.6,-12.43,0.1,50.6,2.748414376321351,17.97040169133193,74.14250000000001,False,False,True
012584.OF,南方中国新兴经济9个月持有A,混合型,混合型-偏股,4.566655614925979,watch,-6.98,-7.49,-0.98,48.2,11.53698735147566,14.102564102564108,,False,False,True
013224.OF,浦银安盛港股通量化优选C,灵活配置型,混合型-偏股,4.801604880810893,watch,-7.44,-14.49,-7.8,38.0,1.4799154334038,2.3255813953488413,76.79249999999999,False,False,True
011644.OF,嘉实时代先锋三年持有C,混合型,混合型-偏股,1.4973923626369223,watch,-6.6,-7.32,-3.23,48.7,12.035262552702186,8.362035973976267,,False,False,True
012672.OF,嘉实核心蓝筹C,混合型,混合型-偏股,4.112629481562703,watch,-6.2,-8.84,1.25,56.4,7.876581065542354,32.81668580176043,,False,False,True
012583.OF,交银品质增长一年持有C,混合型,混合型-偏股,1.3931262551000685,watch,-8.06,-6.37,-6.66,42.1,15.120735914143346,3.233830845771146,,False,False,True
011705.OF,东方阿尔法产业先锋C,混合型,混合型-偏股,2.019932303379566,watch,-4.58,-10.04,4.32,48.7,5.174396320429286,59.58668197474169,,False,False,True
011704.OF,东方阿尔法产业先锋A,混合型,混合型-偏股,3.155968630077704,watch,-4.56,-10.0,4.41,49.0,5.2318896128784935,60.31381553769614,,False,False,True
012542.OF,金鹰产业升级C,混合型,混合型-偏股,2.2405733719227805,watch,-4.37,-8.2,2.92,45.4,9.50555768493676,49.21546115575966,,False,False,True
013045.OF,富国内需增长C,混合型,混合型-偏股,1.938971391133009,watch,-7.13,-8.35,-7.87,39.0,9.122269068608658,2.181400688863377,,False,False,True
012096.OF,鑫元鑫动力A,混合型,混合型-偏股,1.1375127039975037,watch,-4.13,-9.34,-2.23,49.1,6.669221924108859,10.753922694221195,,False,False,True
012358.OF,汇丰晋信医疗先锋A,混合型,混合型-偏股,4.828614823655437,watch,-8.22,-9.05,-5.82,34.5,7.359141433499428,4.381936471488713,,False,False,True
012847.OF,诺安积极回报C,灵活配置型,混合型-偏股,2.411556324171757,watch,-4.54,-10.52,9.82,54.3,5.708245243128962,79.06976744186046,63.715,False,False,True
012428.OF,华夏核心制造A,混合型,混合型-偏股,148.29334702385722,watch,-5.32,-10.08,-5.2,43.0,5.116903027980069,5.319556065824727,,False,False,True
012210.OF,申万菱信智能汽车A,股票型,主动股票型,2.45719822,watch,-5.25,-12.07,-4.95,45.3,3.979238754325265,11.591695501730104,,False,False,True
011373.OF,招商前沿医疗保健A,股票型,主动股票型,2.3200272181464463,watch,-7.63,-10.38,-0.1,49.5,7.785467128027679,25.086505190311414,,False,False,True
011276.OF,交银成长动力一年持有C,混合型,混合型-偏股,2.776198408805679,watch,-9.27,-9.83,-6.22,42.2,5.519356075124571,3.788748564867972,,False,False,True
011331.OF,鹏华远见成长A,混合型,混合型-偏股,2.416179431904005,watch,-4.93,-7.76,3.13,50.1,10.847067842085089,51.18637581324148,,False,False,True
012200.OF,新华鑫科技3个月滚动持有A,灵活配置型,混合型-偏股,1.440112568916621,watch,-3.48,-9.75,11.37,57.7,7.188160676532773,84.14376321353065,73.345,False,False,True
011599.OF,国联安匠心科技1个月滚动持有,混合型,混合型-偏股,243.9341109420396,watch,-1.29,-6.88,11.56,55.7,13.645074741280183,86.85419058553387,,False,False,True
011418.OF,汇添富消费精选两年持有A,股票型,主动股票型,2.6597598427297204,watch,-5.64,-5.71,-6.72,46.6,29.23875432525952,6.747404844290661,,False,False,True
