ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
022242.OF,国联恒安纯债E,债券型,债券型-主动,0.12,0.33,0.39,2.79,4.53,-0.58,455
022036.OF,南方稳信180天持有C,债券型,债券型-主动,0.1,0.22,0.38,0.26,0.08,-6.17,455
022220.OF,鹏华丰盈D,债券型,债券型-主动,-0.08,0.11,0.33,0.55,0.83,-3.01,455
022159.OF,富国丰利增强E,债券型,债券型-主动,0.18,-0.11,2.96,4.17,4.95,0.23,455
022235.OF,鹏华稳瑞中短债C,债券型,债券型-主动,0.12,0.27,0.47,0.2,0.14,-7.56,455
022236.OF,鹏华稳瑞中短债E,债券型,债券型-主动,0.12,0.28,0.43,0.19,0.15,-8.14,455
022034.OF,南方稳信180天持有A,债券型,债券型-主动,0.11,0.25,0.43,0.27,0.08,-5.9,455
022221.OF,鹏华稳健增利E,债券型,债券型-主动,0.12,-0.27,1.3,1.49,1.24,-0.47,455
022219.OF,华润元大润泰双鑫D,债券型,债券型-主动,-0.76,-1.7,0.3,3.05,3.47,-0.56,455
022231.OF,金信民富E,债券型,债券型-主动,0.24,0.42,0.44,1.33,2.7,-1.17,455
022208.OF,华安稳固收益E,债券型,债券型-主动,0.16,0.32,0.65,0.55,0.57,-2.45,455
022234.OF,路博迈中国精选利率债C,债券型,债券型-主动,0.12,0.2,0.21,3.26,5.25,-0.55,455
022218.OF,华宝宝裕纯债D,债券型,债券型-主动,0.07,0.15,0.21,0.88,0.58,-2.02,455
022155.OF,交银裕隆纯债D,债券型,债券型-主动,0.18,0.4,0.79,4.57,8.41,-0.27,455
022207.OF,鹏华丰恒B,债券型,债券型-主动,-0.08,0.09,0.31,0.5,0.43,-3.4,455
020598.OF,格林聚利增强一个月持有A,债券型,债券型-主动,-0.13,0.03,2.07,3.65,2.8,0.02,455
020599.OF,格林聚利增强一个月持有C,债券型,债券型-主动,-0.16,-0.02,1.98,3.65,2.81,-0.01,455
022181.OF,财通资管睿安E,债券型,债券型-主动,0.16,0.51,0.65,3.45,4.8,-0.39,455
022187.OF,宝盈盈泰E,债券型,债券型-主动,0.14,0.33,0.69,0.59,0.6,-2.21,455
021131.OF,大成稳康6个月持有A,债券型,债券型-主动,0.17,0.46,0.85,0.76,0.44,-1.52,455
021132.OF,大成稳康6个月持有C,债券型,债券型-主动,0.16,0.43,0.81,0.76,0.46,-1.57,455
018657.OF,融通通和C,债券型,债券型-主动,0.1,0.17,0.33,0.25,0.08,-6.82,454
022188.OF,鹏华丰泽A,债券型,债券型-主动,0.07,0.17,1.21,0.7,0.66,-1.13,455
022171.OF,富国新天锋E,债券型,债券型-主动,-0.21,-0.81,1.64,1.84,1.18,-0.19,455
022109.OF,华泰保兴安悦D,债券型,债券型-主动,-0.1,0.56,0.47,3.88,8.2,-0.4,455
022140.OF,华安信用四季红E,债券型,债券型-主动,0.17,0.38,0.59,1.04,1.67,-1.36,455
022126.OF,国泰利安中短债E,债券型,债券型-主动,0.11,0.19,0.31,0.1,0.01,-17.56,455
022143.OF,富国景利纯债D,债券型,债券型-主动,0.2,0.44,0.82,0.46,0.64,-2.58,455
022183.OF,万家玖盛9个月D,债券型,债券型-主动,0.1,0.28,0.34,1.42,2.37,-1.17,455
022139.OF,平安3-5年期政策性金融债E,债券型,债券型-主动,0.15,0.4,0.64,1.7,2.91,-0.8,455
022111.OF,华泰保兴恒利中短债D,债券型,债券型-主动,0.95,2.09,2.85,0.95,0.64,0.9,455
022094.OF,恒生前海恒源昭利A,债券型,债券型-主动,0.07,0.13,0.2,20.62,8.69,-0.09,455
021677.OF,国投瑞银启晨利率债,债券型,债券型-主动,0.14,0.38,0.36,1.04,1.49,-1.58,455
022095.OF,恒生前海恒源昭利C,债券型,债券型-主动,0.04,0.08,0.13,19.9,1.08,-0.09,455
022162.OF,交银纯债D,债券型,债券型-主动,0.19,0.34,-0.09,1.24,2.24,-1.68,455
022163.OF,鹏华稳利短债D,债券型,债券型-主动,0.12,0.24,0.36,0.16,0.11,-10.1,455
021836.OF,东方红益恒纯债C,债券型,债券型-主动,0.13,0.49,0.55,1.24,1.72,-1.17,455
021825.OF,东海鑫兴30天持有C,债券型,债券型-主动,0.1,0.25,0.35,1.0,1.29,-1.65,454
021824.OF,东海鑫兴30天持有A,债券型,债券型-主动,0.11,0.28,0.39,1.0,1.2,-1.61,454
021835.OF,东方红益恒纯债A,债券型,债券型-主动,0.14,0.51,0.58,1.25,1.63,-1.14,455
022156.OF,鹏华可转债D,债券型,债券型-主动,-2.97,-5.22,6.73,13.63,12.13,0.35,455
022057.OF,嘉实季季惠享3个月持有纯债C,债券型,债券型-主动,0.16,0.29,0.48,0.48,0.49,-3.15,455
021346.OF,永赢汇享C,债券型,债券型-主动,0.05,0.05,2.17,1.66,1.21,0.1,455
015433.OF,金元顺安泓泽,债券型,债券型-主动,-0.31,0.09,-0.61,3.59,7.25,-0.73,455
022146.OF,金鹰元盛D,债券型,债券型-主动,-0.42,-0.65,0.52,1.92,1.42,-0.77,456
021345.OF,永赢汇享A,债券型,债券型-主动,0.07,0.09,2.26,1.65,1.16,0.15,455
022056.OF,嘉实季季惠享3个月持有纯债A,债券型,债券型-主动,0.17,0.3,0.52,0.48,0.48,-3.07,455
022128.OF,华安纯债E,债券型,债券型-主动,0.14,0.24,0.42,1.0,1.9,-1.58,455
022138.OF,平安元泓30天滚动持有短债E,债券型,债券型-主动,0.14,0.24,0.41,0.18,0.06,-8.72,455
020834.OF,东兴兴诚利率债C,债券型,债券型-主动,0.16,0.35,0.96,0.85,0.7,-1.23,455
022107.OF,华宝中短债D,债券型,债券型-主动,0.13,0.27,0.57,0.4,0.48,-3.54,455
022136.OF,富国长江经济带E,债券型,债券型-主动,0.16,0.32,0.56,0.39,0.4,-3.71,455
022129.OF,华富安福C,债券型,债券型-主动,0.07,-0.02,1.47,2.79,3.33,-0.19,455
022127.OF,华富可转债C,债券型,债券型-主动,-1.21,-2.64,4.64,10.02,8.85,0.26,455
022142.OF,鹏华金利D,债券型,债券型-主动,0.01,0.17,0.45,0.6,0.91,-2.58,455
022130.OF,华富安福D,债券型,债券型-主动,0.09,0.02,1.54,2.79,3.32,-0.17,455
020833.OF,东兴兴诚利率债A,债券型,债券型-主动,0.15,0.34,0.41,0.73,0.69,-2.18,455
022135.OF,富国长江经济带C,债券型,债券型-主动,0.15,0.3,0.53,0.38,0.45,-3.83,455
022103.OF,交银裕通纯债D,债券型,债券型-主动,0.17,0.41,0.79,3.12,4.68,-0.39,455
022134.OF,富国增利F,债券型,债券型-主动,0.18,0.4,0.77,0.55,0.96,-2.23,455
022147.OF,国联安中短债D,债券型,债券型-主动,0.15,0.26,0.42,0.27,0.2,-5.79,455
022133.OF,富国增利E,债券型,债券型-主动,0.18,0.43,0.81,0.55,0.88,-2.16,455
022131.OF,鹏华普利E,债券型,债券型-主动,0.15,0.25,0.4,0.26,0.3,-6.07,455
022042.OF,创金合信润业央企债主题三个月定开C,债券型,债券型-主动,0.13,0.22,0.3,0.43,0.3,-3.92,404
022041.OF,创金合信润业央企债主题三个月定开A,债券型,债券型-主动,0.15,0.24,0.36,0.44,0.25,-3.72,404
022117.OF,中欧中短债D,债券型,债券型-主动,0.14,0.25,0.43,0.7,0.97,-2.25,455
022113.OF,国泰丰鑫纯债C,债券型,债券型-主动,-0.37,-0.24,-0.04,0.95,1.1,-2.15,455
022086.OF,国泰嘉睿纯债E,债券型,债券型-主动,0.09,0.36,0.43,0.85,1.28,-1.85,455
021423.OF,易方达悦丰稳健A,债券型,债券型-主动,0.34,0.09,2.77,1.59,1.22,0.49,455
021424.OF,易方达悦丰稳健C,债券型,债券型-主动,0.31,0.05,2.7,1.58,1.23,0.44,455
022123.OF,天弘安恒60天滚动持有E,债券型,债券型-主动,0.14,0.25,0.45,0.2,0.1,-7.91,454
022064.OF,博时裕创纯债C,债券型,债券型-主动,0.08,0.12,0.26,2.02,3.28,-0.86,455
022078.OF,泰信周期回报C,债券型,债券型-主动,0.11,0.33,0.38,1.96,4.05,-0.83,455
022079.OF,泰信周期回报D,债券型,债券型-主动,0.13,0.37,0.44,1.96,3.82,-0.8,455
021628.OF,嘉实稳华纯债E,债券型,债券型-主动,0.1,0.06,0.13,0.41,0.16,-4.55,455
022105.OF,金鹰添利中长期信用债E,债券型,债券型-主动,-1.59,-2.84,7.3,8.35,5.19,0.63,455
022118.OF,鹏华丰玉E,债券型,债券型-主动,0.15,0.32,0.48,0.54,0.72,-2.79,455
022040.OF,博时裕荣纯债C,债券型,债券型-主动,0.15,0.33,0.54,0.46,0.46,-3.17,455
022114.OF,前海开源弘泽D,债券型,债券型-主动,-0.24,-0.43,1.32,1.59,1.07,-0.43,455
022088.OF,永赢安泰中短债D,债券型,债券型-主动,0.11,0.19,0.34,0.11,0.03,-15.32,455
022089.OF,大成景轩中高等级F,债券型,债券型-主动,0.2,0.49,0.62,0.71,1.21,-1.94,455
022100.OF,创金合信聚利E,债券型,债券型-主动,0.31,0.57,1.08,0.56,0.28,-1.64,455
022071.OF,诺德安鸿纯债D,债券型,债券型-主动,0.07,0.07,0.14,1.02,1.22,-1.82,455
022099.OF,平安双盈添益E,债券型,债券型-主动,-0.25,-0.32,0.16,0.69,1.48,-2.66,454
021268.OF,安信180天持有C,债券型,债券型-主动,0.04,0.35,1.12,0.61,0.28,-1.44,455
021267.OF,安信180天持有A,债券型,债券型-主动,0.06,0.37,1.18,0.62,0.28,-1.32,455
022014.OF,中欧稳裕30天滚动持有A,债券型,债券型-主动,0.17,0.27,0.39,0.19,0.1,-8.68,455
022015.OF,中欧稳裕30天滚动持有C,债券型,债券型-主动,0.16,0.25,0.35,0.18,0.09,-9.28,455
021992.OF,新华双利E,债券型,债券型-主动,-0.16,-0.99,2.19,5.63,6.7,0.03,455
022058.OF,平安双债添益E,债券型,债券型-主动,-0.21,-0.16,1.59,1.84,1.49,-0.22,455
021794.OF,国泰海通安宜纯债,债券型,债券型-主动,0.13,0.39,0.62,1.96,2.79,-0.71,455
021548.OF,富国稳健双鑫A,债券型,债券型-主动,-0.31,-0.29,0.65,1.49,1.15,-0.91,455
021549.OF,富国稳健双鑫C,债券型,债券型-主动,-0.34,-0.33,0.58,1.48,1.17,-0.95,455
021819.OF,华夏聚顺优选六个月持有C,债券型,债券型-主动,0.01,0.24,0.86,0.89,0.59,-1.27,440
021818.OF,华夏聚顺优选六个月持有A,债券型,债券型-主动,0.03,0.28,0.92,0.9,0.59,-1.2,440
022043.OF,财通资管鸿商中短债E,债券型,债券型-主动,0.13,0.2,0.31,0.29,0.15,-5.76,455
022051.OF,平安惠诚纯债C,债券型,债券型-主动,0.18,0.48,0.73,1.34,2.59,-0.95,455
020925.OF,格林泓卓利率债,债券型,债券型-主动,0.05,0.5,0.31,1.21,2.44,-1.4,455
020301.OF,平安惠嘉纯债A,债券型,债券型-主动,0.14,0.05,0.19,0.67,0.5,-2.68,455
020302.OF,平安惠嘉纯债C,债券型,债券型-主动,0.13,0.01,0.14,0.67,0.63,-2.77,455
020426.OF,中信建投景源A,债券型,债券型-主动,0.13,0.32,0.56,1.71,3.39,-0.84,455
021732.OF,中银证券鸿瑞A,债券型,债券型-主动,0.18,0.37,0.51,0.67,0.63,-2.21,455
020427.OF,中信建投景源C,债券型,债券型-主动,0.1,0.28,0.48,1.17,2.5,-1.29,455
021733.OF,中银证券鸿瑞C,债券型,债券型-主动,0.18,0.34,0.49,0.68,0.64,-2.23,455
022021.OF,平安惠享纯债D,债券型,债券型-主动,-0.19,-0.46,1.31,1.3,0.84,-0.53,455
021462.OF,达诚添利利率债A,债券型,债券型-主动,0.04,0.32,0.15,0.94,1.84,-1.96,454
021463.OF,达诚添利利率债C,债券型,债券型-主动,0.03,0.3,0.12,0.94,1.79,-2.0,454
021323.OF,博道和裕多元稳健30天持有A,债券型,债券型-主动,0.09,0.01,0.71,0.91,0.66,-1.41,454
022037.OF,天弘悦利D,债券型,债券型-主动,0.07,0.13,0.22,0.1,0.01,-17.87,454
021324.OF,博道和裕多元稳健30天持有C,债券型,债券型-主动,0.06,-0.04,0.64,0.92,0.74,-1.47,454
022020.OF,南方定元中短债E,债券型,债券型-主动,0.14,0.3,0.5,0.44,0.6,-3.44,455
022033.OF,兴业短债D,债券型,债券型-主动,0.11,0.23,0.39,0.16,0.08,-10.11,455
021696.OF,浙商汇金聚悦利率债A,债券型,债券型-主动,0.16,0.23,0.24,1.32,2.7,-1.33,455
021697.OF,浙商汇金聚悦利率债C,债券型,债券型-主动,0.15,0.21,0.21,1.33,2.79,-1.35,455
022009.OF,南方祥元E,债券型,债券型-主动,0.16,0.39,0.76,0.62,1.05,-2.0,455
020298.OF,长盛盛悦A,债券型,债券型-主动,0.05,0.31,0.41,0.69,1.01,-2.3,455
020299.OF,长盛盛悦C,债券型,债券型-主动,0.04,0.3,0.37,0.68,1.03,-2.4,455
021559.OF,格林30天滚动持有A,债券型,债券型-主动,0.06,0.11,1.22,1.13,1.23,-0.69,455
021538.OF,天弘月月兴30天持有C,债券型,债券型-主动,0.14,0.24,0.41,0.24,0.05,-6.5,454
021537.OF,天弘月月兴30天持有A,债券型,债券型-主动,0.15,0.27,0.45,0.25,0.05,-6.31,454
021560.OF,格林30天滚动持有C,债券型,债券型-主动,0.04,0.08,1.17,1.13,1.27,-0.73,455
021554.OF,兴业恒悦180天持有A,债券型,债券型-主动,-0.02,0.22,0.96,0.87,0.55,-1.2,455
021555.OF,兴业恒悦180天持有C,债券型,债券型-主动,-0.05,0.18,0.89,0.87,0.58,-1.28,455
021999.OF,兴银朝阳C,债券型,债券型-主动,0.09,0.12,0.18,0.48,0.4,-3.82,455
021970.OF,平安5-10年期政策性金融债E,债券型,债券型-主动,0.04,0.31,0.36,2.45,3.76,-0.67,455
021960.OF,建信双债增强F,债券型,债券型-主动,-0.22,-0.52,1.53,2.86,4.06,-0.17,455
021803.OF,华商鸿信纯债,债券型,债券型-主动,0.19,0.39,0.61,0.42,0.51,-3.29,454
021544.OF,博远增汇纯债A,债券型,债券型-主动,0.07,0.29,0.2,1.08,0.95,-1.66,455
021545.OF,博远增汇纯债C,债券型,债券型-主动,0.07,0.28,0.17,1.08,0.95,-1.69,455
021951.OF,建信中短债纯债F,债券型,债券型-主动,0.14,0.27,0.51,1.17,1.76,-1.27,455
020994.OF,红土创新添益C,债券型,债券型-主动,0.12,0.59,1.04,1.18,1.02,-0.82,455
020993.OF,红土创新添益A,债券型,债券型-主动,0.14,0.62,1.09,1.19,1.0,-0.77,455
020507.OF,中银证券鸿安C,债券型,债券型-主动,0.05,0.08,0.22,0.35,0.22,-5.1,455
020506.OF,中银证券鸿安A,债券型,债券型-主动,0.06,0.09,0.24,0.35,0.21,-5.05,455
021685.OF,兴全丰德C,债券型,债券型-主动,-0.18,0.13,1.42,1.58,1.34,-0.37,455
021684.OF,兴全丰德A,债券型,债券型-主动,-0.16,0.17,1.5,1.58,1.31,-0.32,455
