ts_code,name,category,return_1y,return_6m,volatility,max_drawdown,sharpe,quality_score,note
018751.OF,山证资管精选行业C,混合型-偏股,33.75,6.86,21.48,19.7,1.48,85.3,【待补充】规模数据待验证
011807.OF,平安研究精选A,混合型-偏股,18.77,2.75,17.66,13.61,0.95,82.7,【待补充】规模数据待验证
018220.OF,广发品质优选A,混合型-偏股,28.88,4.87,21.05,14.14,1.28,89.1,【待补充】规模数据待验证
018194.OF,建信新材料精选A,主动股票型,18.68,4.32,15.51,13.8,1.08,83.8,【待补充】规模数据待验证
023674.OF,德邦新兴产业A,混合型-偏股,39.86,22.88,22.77,25.15,1.66,81.8,【待补充】规模数据待验证
014874.OF,惠升惠远回报A,混合型-偏股,14.27,1.41,14.62,10.16,0.84,82.5,【待补充】规模数据待验证
015211.OF,招商安鼎平衡1年持有A,混合型-偏股,17.86,3.47,10.94,8.29,1.45,93.9,【待补充】规模数据待验证
019578.OF,摩根全球天然资源C,混合型-偏股,15.59,5.83,14.68,13.55,0.93,80.8,【待补充】规模数据待验证
018656.OF,新华行业周期轮换C,混合型-偏股,33.48,6.44,20.51,13.29,1.54,92.6,【待补充】规模数据待验证
018231.OF,易方达全球优质企业美元现汇A,混合型-偏股,15.86,6.56,14.9,11.79,0.93,83.2,【待补充】规模数据待验证
019155.OF,易方达全球配置A,混合型-偏股,15.21,6.22,14.24,8.91,0.93,86.2,【待补充】规模数据待验证
019157.OF,易方达全球配置美元现汇A,混合型-偏股,17.76,7.81,14.24,9.28,1.11,90.1,【待补充】规模数据待验证
015945.OF,易方达国防军工C,混合型-偏股,25.97,1.85,18.72,11.86,1.28,91.2,【待补充】规模数据待验证
022754.OF,易方达科鑫量化选股A,主动股票型,20.34,4.97,15.69,13.62,1.17,85.8,【待补充】规模数据待验证
018553.OF,景顺长城中小盘C,混合型-偏股,19.55,7.94,15.24,13.61,1.15,85.5,【待补充】规模数据待验证
013812.OF,景顺长城景气进取A,混合型-偏股,18.74,7.12,15.36,14.37,1.09,83.6,【待补充】规模数据待验证
015731.OF,景顺长城核心竞争力C,混合型-偏股,16.79,5.85,15.78,13.32,0.94,81.9,【待补充】规模数据待验证
017167.OF,景顺长城策略精选C,混合型-平衡,16.9,5.89,14.78,13.23,1.01,83.1,【待补充】规模数据待验证
017090.OF,景顺长城能源基建C,混合型-偏股,14.38,5.98,12.72,8.31,0.97,86.9,【待补充】规模数据待验证
011888.OF,民生加银周期优选A,混合型-偏股,25.23,6.96,18.71,13.66,1.24,88.7,【待补充】规模数据待验证
019838.OF,民生加银品牌蓝筹C,混合型-平衡,21.47,6.03,17.17,13.54,1.13,86.1,【待补充】规模数据待验证
023915.OF,永赢价值发现慧选A,混合型-偏股,26.28,7.91,14.78,10.03,1.64,96.2,【待补充】规模数据待验证
025216.OF,永赢资源慧选A,混合型-偏股,22.04,5.38,22.58,10.07,0.89,86.2,【待补充】规模数据待验证
022416.OF,汇添富弘盛回报A,混合型-偏股,31.12,5.98,20.48,14.02,1.42,90.9,【待补充】规模数据待验证
022572.OF,汇添富弘达回报A,混合型-偏股,23.19,6.4,12.92,8.15,1.64,96.1,【待补充】规模数据待验证
018440.OF,汇添富量化选股A,混合型-偏股,14.48,1.71,10.91,9.86,1.14,87.6,【待补充】规模数据待验证
013033.OF,泰信智选量化选股A,混合型-偏股,14.14,2.29,11.71,8.95,1.04,87.1,【待补充】规模数据待验证
012454.OF,淳厚鑫悦商业模式优选A,混合型-偏股,25.27,2.79,21.76,13.51,1.07,86.4,【待补充】规模数据待验证
011346.OF,淳厚鑫淳一年持有,混合型-偏股,22.57,2.75,18.84,11.54,1.09,89.2,【待补充】规模数据待验证
015173.OF,申万菱信竞争优势C,混合型-偏股,14.09,5.57,12.67,8.8,0.95,85.8,【待补充】规模数据待验证
015157.OF,申万菱信行业轮动C,主动股票型,28.13,5.94,18.81,11.37,1.39,92.8,【待补充】规模数据待验证
011011.OF,融通产业趋势精选A,混合型-偏股,24.86,5.53,19.02,15.75,1.2,85.4,【待补充】规模数据待验证
014109.OF,融通内需驱动C,混合型-偏股,15.56,1.02,13.57,9.05,1.0,87.7,【待补充】规模数据待验证
022237.OF,融通央企精选A,混合型-偏股,15.04,8.29,13.2,9.85,0.99,86.5,【待补充】规模数据待验证
014106.OF,融通成长30C,混合型-平衡,28.44,8.63,18.14,15.3,1.46,89.8,【待补充】规模数据待验证
009825.OF,融通通乾研究精选C,混合型-平衡,17.34,9.73,12.92,14.05,1.19,84.2,【待补充】规模数据待验证
022149.OF,诺安价值增长D,混合型-偏股,27.09,6.56,16.33,10.54,1.54,94.9,【待补充】规模数据待验证
014521.OF,诺安利鑫C,混合型-平衡,16.15,3.61,12.67,7.41,1.12,90.1,【待补充】规模数据待验证
014550.OF,诺安益鑫C,混合型-平衡,21.32,4.89,16.74,13.51,1.15,86.3,【待补充】规模数据待验证
021875.OF,路博迈资源精选A,主动股票型,24.11,6.16,21.95,15.97,1.01,81.9,【待补充】规模数据待验证
015985.OF,金鹰碳中和C,混合型-偏股,24.4,12.09,17.78,13.11,1.26,89.3,【待补充】规模数据待验证
025326.OF,银华嘉瑞平衡A,混合型-偏股,13.09,6.71,11.86,2.98,0.94,87.4,【待补充】规模数据待验证
021694.OF,银华抗通胀主题C,混合型-偏股,13.08,6.04,13.55,10.74,0.82,80.5,【待补充】规模数据待验证
025476.OF,银华瑞和C,混合型-平衡,34.97,15.7,19.86,7.85,1.66,96.6,【待补充】规模数据待验证
021145.OF,银华甄选价值成长A,混合型-偏股,27.91,15.91,18.46,13.1,1.4,91.6,【待补充】规模数据待验证
015722.OF,长城中小盘成长C,混合型-偏股,33.36,19.44,19.53,15.92,1.61,91.6,【待补充】规模数据待验证
017885.OF,长城久润C,混合型-平衡,24.6,7.12,16.45,12.47,1.37,91.4,【待补充】规模数据待验证
013674.OF,长城价值甄选一年持有A,混合型-偏股,27.2,4.94,23.15,11.84,1.09,87.8,【待补充】规模数据待验证
013274.OF,长城优化升级C,混合型-偏股,35.46,21.1,19.61,16.39,1.71,92.3,【待补充】规模数据待验证
017458.OF,长城创新驱动C,混合型-偏股,26.14,1.24,21.45,17.08,1.13,82.8,【待补充】规模数据待验证
021636.OF,长城周期优选A,混合型-偏股,32.81,8.06,22.58,12.42,1.36,90.4,【待补充】规模数据待验证
019278.OF,长城国企优选C,混合型-偏股,16.88,4.79,13.46,9.05,1.11,89.7,【待补充】规模数据待验证
014538.OF,长城研究精选C,混合型-偏股,25.24,12.17,20.53,19.03,1.13,80.7,【待补充】规模数据待验证
012716.OF,长盛创新先锋C,混合型-平衡,22.25,3.94,17.67,14.6,1.15,85.3,【待补充】规模数据待验证
019205.OF,鹏华优质企业C,混合型-偏股,33.37,8.47,19.85,12.82,1.58,93.6,【待补充】规模数据待验证
017667.OF,鹏华新材料A,混合型-偏股,22.4,3.32,14.32,9.6,1.42,93.9,【待补充】规模数据待验证
016562.OF,鹏华精选成长C,混合型-偏股,14.28,7.08,14.11,11.2,0.87,81.7,【待补充】规模数据待验证
019820.OF,鹏华远见精选A,混合型-偏股,26.9,11.32,23.08,15.82,1.08,83.3,【待补充】规模数据待验证
