ts_code,name,invest_type,category
019199.OF,华富国泰民安C,灵活配置型,混合型-平衡
019206.OF,大成产业升级C,股票型,主动股票型
019234.OF,光大精选C,混合型,混合型-偏股
019200.OF,华富健康文娱C,灵活配置型,混合型-平衡
019029.OF,华宝医药生物C,混合型,混合型-偏股
018039.OF,富国融裕两年持有C,混合型,混合型-偏股
019205.OF,鹏华优质企业C,混合型,混合型-偏股
018504.OF,景顺长城周期优选A,混合型,混合型-偏股
017594.OF,易方达稳健腾享六个月持有A,混合型,混合型-偏股
018038.OF,富国融裕两年持有A,混合型,混合型-偏股
018672.OF,广发安诚养老目标2040三年持有A,混合型,混合型-偏股
017595.OF,易方达稳健腾享六个月持有C,混合型,混合型-偏股
018505.OF,景顺长城周期优选C,混合型,混合型-偏股
018286.OF,博时集兴配置优选6个月持有C,混合型,混合型-偏股
018285.OF,博时集兴配置优选6个月持有A,混合型,混合型-偏股
018148.OF,百嘉百瑞A,混合型,混合型-偏股
016561.OF,永赢启源C,混合型,混合型-偏股
019183.OF,大成精选增值C,混合型,混合型-偏股
018282.OF,山证资管创新成长C,混合型,混合型-偏股
018281.OF,山证资管创新成长A,混合型,混合型-偏股
019108.OF,华宝国策导向C,混合型,混合型-偏股
019209.OF,浦银安盛精致生活C,灵活配置型,混合型-平衡
019253.OF,富安达科技创新C,混合型,混合型-偏股
019215.OF,景顺长城量化平衡C,灵活配置型,混合型-平衡
016560.OF,永赢启源A,混合型,混合型-偏股
019092.OF,金鹰核心资源C,混合型,混合型-偏股
019275.OF,浙商汇金转型升级C,灵活配置型,混合型-平衡
017005.OF,中银价值精选C,混合型,混合型-偏股
018522.OF,信澳颐远养老目标2055五年持有,混合型,混合型-偏股
019195.OF,博时量化平衡C,平衡型,混合型-平衡
019216.OF,天弘价值精选C,灵活配置型,混合型-平衡
019166.OF,东兴蓝海财富C,灵活配置型,混合型-平衡
019151.OF,东兴改革精选C,灵活配置型,混合型-平衡
018823.OF,国金智享量化选股A,混合型,混合型-偏股
019194.OF,融通产业趋势精选C,混合型,混合型-偏股
018443.OF,汇添富成长领航C,混合型,混合型-偏股
018431.OF,摩根世代趋势C,混合型,混合型-偏股
019030.OF,信澳星耀智选A,混合型,混合型-偏股
018442.OF,汇添富成长领航A,混合型,混合型-偏股
018824.OF,国金智享量化选股C,混合型,混合型-偏股
018430.OF,摩根世代趋势A,混合型,混合型-偏股
019031.OF,信澳星耀智选C,混合型,混合型-偏股
018919.OF,华夏清洁能源龙头C,混合型,混合型-偏股
018918.OF,华夏清洁能源龙头A,混合型,混合型-偏股
018194.OF,建信新材料精选A,股票型,主动股票型
018195.OF,建信新材料精选C,股票型,主动股票型
018791.OF,华泰柏瑞均衡成长C,混合型,混合型-偏股
