ts_code,name,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,quality_score,percentile_1y,percentile_6m
012520.OF,大成核心趋势C,混合型-偏股,1.53,2.76,23.44,20.16,15.77,1.06,83.4,98.2969766551856,90.24530471445
019820.OF,鹏华远见精选A,混合型-偏股,8.59,11.32,26.9,23.08,15.82,1.08,83.3,99.1580558744738,98.98428516673054
018231.OF,易方达全球优质企业美元现汇A,混合型-偏股,2.64,6.56,15.86,14.9,11.79,0.93,83.2,94.48909299655568,96.68455346876198
017167.OF,景顺长城策略精选C,混合型-平衡,3.58,5.89,16.9,14.78,13.23,1.01,83.1,93.446088794926,94.9260042283298
020775.OF,国寿安保产业升级A,主动股票型,5.67,9.36,31.75,20.95,20.95,1.42,83.1,100.0,99.1349480968858
018546.OF,国投瑞银瑞盈C,混合型-平衡,2.56,5.03,14.91,12.94,12.27,1.0,83.0,90.9090909090909,93.02325581395348
013435.OF,大成景气精选六个月持有A,混合型-偏股,2.44,3.18,22.55,20.19,15.55,1.02,82.9,98.12476081132796,91.18436182445382
025486.OF,中邮新锐量化选股A,混合型-偏股,-0.55,2.05,15.04,18.94,6.36,0.69,82.8,93.43666283964792,87.33231123035645
019401.OF,交银瑞元三年定开,混合型-偏股,8.12,7.27,14.86,18.52,4.61,0.69,82.8,93.03482587064676,97.25948639325412
017458.OF,长城创新驱动C,混合型-偏股,6.05,1.24,26.14,21.45,17.08,1.13,82.8,98.98584003061616,82.59869681870448
011807.OF,平安研究精选A,混合型-偏股,2.68,2.75,18.77,17.66,13.61,0.95,82.7,96.72789896670494,90.16864699118436
016021.OF,华安优嘉精选A,混合型-偏股,3.31,4.12,15.09,14.48,11.31,0.9,82.7,93.60887868350557,93.67573783058644
012876.OF,富荣福耀A,混合型-偏股,-0.09,3.51,15.85,14.55,12.52,0.95,82.6,94.46995790279372,92.16174779609044
014874.OF,惠升惠远回报A,混合型-偏股,1.42,1.41,14.27,14.62,10.16,0.84,82.5,92.2694221201684,83.76772709850518
023386.OF,国泰聚智量化选股A,混合型-偏股,0.01,2.29,13.05,13.45,8.61,0.82,82.5,90.31764255644852,88.44384821770794
018862.OF,大成创优鑫选A,混合型-偏股,2.86,2.41,17.29,19.51,10.69,0.78,82.5,95.65633371603522,88.7121502491376
015731.OF,景顺长城核心竞争力C,混合型-偏股,4.48,5.85,16.79,15.78,13.32,0.94,81.9,95.35017221584386,95.9946339593714
021875.OF,路博迈资源精选A,主动股票型,3.66,6.16,24.11,21.95,15.97,1.01,81.9,97.92387543252596,97.2318339100346
023674.OF,德邦新兴产业A,混合型-偏股,16.14,22.88,39.86,22.77,25.15,1.66,81.8,99.96172981247608,99.9233422767344
016562.OF,鹏华精选成长C,混合型-偏股,3.43,7.08,14.28,14.11,11.2,0.87,81.7,92.28855721393036,97.04867765427366
024928.OF,华夏卓越成长A,混合型-偏股,1.83,3.56,15.14,17.96,9.68,0.73,81.5,93.64714887102949,92.3342276734381
021094.OF,东方低碳经济A,混合型-偏股,4.12,1.43,20.42,21.07,13.52,0.87,81.4,97.53157290470725,83.94020697585282
019578.OF,摩根全球天然资源C,混合型-偏股,2.02,5.83,15.59,14.68,13.55,0.93,80.8,94.18293149636432,95.9563050977386
014538.OF,长城研究精选C,混合型-偏股,5.12,12.17,25.24,20.53,19.03,1.13,80.7,98.7753539992346,99.15676504407818
021694.OF,银华抗通胀主题C,混合型-偏股,4.58,6.04,13.08,13.55,10.74,0.82,80.5,90.3367776502105,96.28210042161749
014453.OF,中银新动力C,主动股票型,3.59,2.81,19.37,16.82,16.54,1.03,80.4,94.4636678200692,84.42906574394465
015455.OF,信澳周期动力C,混合型-偏股,4.2,3.91,16.83,17.16,13.35,0.86,80.3,95.40757749712974,93.17746262935992
023036.OF,中欧资源精选A,混合型-偏股,3.04,1.44,22.03,23.93,13.56,0.84,80.0,98.02908534251816,84.07435799156765
