ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
021902.OF,广发主题领先C,灵活配置型,混合型-平衡,1.7572082402829463,watch,1.51,4.06,9.19,77.6,90.06342494714588,76.95560253699789,59.339999999999996,False,True,False
021642.OF,富国资源精选A,混合型,混合型-偏股,12.659462748382165,preferred,3.82,7.56,23.66,89.7,97.39363740896896,98.37351703023344,,False,True,False
015520.OF,安信远见稳进一年持有C,混合型,混合型-偏股,14.351326791927336,preferred,0.46,-0.38,12.26,79.7,60.0613261786125,88.76769996172982,,False,True,False
015519.OF,安信远见稳进一年持有A,混合型,混合型-偏股,7.858644518289008,preferred,0.47,-0.34,12.35,79.8,60.67458796473745,88.93991580558745,,False,True,False
021637.OF,长城周期优选C,混合型,混合型-偏股,59.96931233025867,normal,2.99,7.92,32.57,90.3,97.64277500958222,99.65556831228471,,False,True,False
021636.OF,长城周期优选A,混合型,混合型-偏股,21.053468617826724,preferred,3.09,8.06,32.81,90.4,97.68110387121504,99.67470340604667,,False,True,False
021316.OF,民生加银智选成长A,股票型,主动股票型,13.045141294914677,preferred,0.71,-1.5,11.31,76.7,58.99653979238755,80.62283737024222,,False,True,False
021317.OF,民生加银智选成长C,股票型,主动股票型,16.815662346540048,preferred,0.68,-1.54,11.22,76.4,58.65051903114187,80.27681660899654,,False,True,False
018221.OF,广发品质优选C,混合型,混合型-偏股,23.24186770828093,preferred,1.6,4.87,28.83,89.0,94.76811038712152,99.46421737466513,,False,True,False
018220.OF,广发品质优选A,混合型,混合型-偏股,44.12421853191516,preferred,1.57,4.87,28.88,89.1,94.74894595630508,99.4833524684271,,False,True,False
021694.OF,银华抗通胀主题C,主题型,混合型-偏股,1.1507018870362289,watch,4.58,6.04,13.08,80.5,96.28210042161749,90.3367776502105,,False,True,False
020799.OF,天弘红利智选A,混合型,混合型-偏股,143.6598792224643,watch,1.96,5.2,8.07,76.1,95.26638558834804,76.9804822043628,,False,True,False
020800.OF,天弘红利智选C,混合型,混合型-偏股,3.2418688242678937,watch,1.92,5.12,7.94,75.4,95.1897278650824,76.63605051664753,,False,True,False
501049.OF,东方红睿玺三年持有A,混合型,混合型-偏股,87.35078492000001,normal,2.13,4.39,11.55,86.8,94.02069758528172,86.83505549177191,,False,True,False
010506.OF,东方红睿玺三年持有C,混合型,混合型-偏股,12.497465854098271,preferred,2.1,4.33,11.44,84.4,93.90571100038328,86.6054343666284,,False,True,False
020416.OF,农银先进制造A,混合型,混合型-偏股,17.647596793825226,preferred,2.31,4.49,12.3,70.0,94.17401303181296,88.84424033677764,,False,True,False
021405.OF,长江汇智量化选股C,混合型,混合型-偏股,1.472681205909901,watch,-0.61,-2.67,9.55,73.3,34.860099655040244,81.78339073861463,,False,True,False
021404.OF,长江汇智量化选股A,混合型,混合型-偏股,2.8034256518046945,watch,-0.6,-2.62,9.64,73.5,35.41586814871598,81.97474167623422,,False,True,False
019611.OF,财通数字经济智选C,混合型,混合型-偏股,12.39912410813056,preferred,1.88,0.45,14.36,71.8,75.4120352625527,92.32682740145428,,False,True,False
020138.OF,永赢启鑫A,混合型,混合型-偏股,96.77189599324038,normal,-3.69,-5.24,12.87,76.4,19.375239555385203,89.89667049368542,,False,True,False
020139.OF,永赢启鑫C,混合型,混合型-偏股,15.952597536146804,preferred,-3.72,-5.3,12.75,76.1,19.01111536987351,89.60964408725603,,False,True,False
020979.OF,西部利得价值回报A,混合型,混合型-偏股,1.9526988132500056,watch,0.69,1.9,6.39,70.2,86.54656956688387,71.04860313815537,,False,True,False
019610.OF,财通数字经济智选A,混合型,混合型-偏股,6.282514038220808,preferred,1.91,0.51,14.48,72.1,76.38942123418934,92.49904324531192,,False,True,False
021478.OF,东方周期优选C,灵活配置型,混合型-偏股,41.632246822024506,preferred,5.11,5.55,13.4,88.0,93.86892177589851,88.79492600422833,80.515,False,True,False
