ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
019035.OF,易方达全球医药行业人民币C,混合型,混合型-偏股,-12.22,-9.73,-9.15,30.06,27.56,-0.37,444
019036.OF,易方达全球医药行业美元C,混合型,混合型-偏股,-8.37,-9.46,-7.16,30.1,25.58,-0.3,443
019024.OF,易方达信息行业精选C,股票型,主动股票型,2.16,0.54,2.24,25.62,19.22,0.01,455
017825.OF,华安新材料主题C,股票型,主动股票型,-0.25,-2.45,8.47,19.69,16.82,0.33,455
019789.OF,鹏华优质治理C,混合型,混合型-偏股,-2.55,-4.22,3.46,15.65,9.09,0.09,455
018687.OF,东方养老目标2050五年持有A,混合型,混合型-偏股,-1.26,-1.72,2.94,8.85,8.42,0.11,440
019796.OF,银河国企主题C,混合型,混合型-偏股,-2.17,-1.94,5.66,12.47,9.49,0.29,455
019926.OF,中欧琪福E,混合型,混合型-偏股,-0.18,-0.23,1.14,1.65,1.47,-0.52,455
018381.OF,安信红利精选A,混合型,混合型-偏股,-1.64,1.67,3.02,8.46,8.4,0.12,455
019410.OF,南方数字经济A,混合型,混合型-偏股,8.6,8.78,11.91,23.06,18.59,0.43,455
019411.OF,南方数字经济C,混合型,混合型-偏股,8.58,8.74,11.82,23.06,18.61,0.43,455
019360.OF,汇添富积极优选三年定开,混合型,混合型-偏股,8.68,11.98,26.97,29.42,7.86,0.85,103
018382.OF,安信红利精选C,混合型,混合型-偏股,-1.68,1.61,2.92,8.46,8.42,0.11,455
019888.OF,中欧周期优选A,混合型,混合型-偏股,0.18,-2.87,14.67,21.03,15.65,0.6,455
019889.OF,中欧周期优选C,混合型,混合型-偏股,0.15,-2.94,14.53,21.01,15.68,0.6,455
018515.OF,中欧预见养老2040三年持有,混合型,混合型-偏股,-2.2,-2.67,-1.77,5.65,5.2,-0.67,441
019698.OF,招商安泽稳利9个月持有A,混合型,混合型-偏股,-0.52,-0.1,3.79,4.4,4.91,0.41,455
017824.OF,华安新材料主题A,股票型,主动股票型,-0.22,-2.4,8.57,19.7,16.8,0.33,455
