ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
022754.OF,易方达科鑫量化选股A,股票型,主动股票型,2.07,4.97,20.34,15.69,13.62,1.17,455,35.0,94.11764705882352,25.0,95.8477508650519,85.8,
022270.OF,中信保诚周期优选C,混合型,混合型-偏股,4.58,5.48,25.34,18.48,11.47,1.26,455,231.0,95.59218091222691,63.0,98.81362418675852,91.3,
022269.OF,中信保诚周期优选A,混合型,混合型-偏股,4.62,5.55,25.48,18.49,11.45,1.27,455,227.0,95.66883863549252,60.0,98.8710294680444,91.4,
022167.OF,富国资源精选C,混合型,混合型-偏股,3.79,7.51,23.56,17.62,12.47,1.22,455,139.0,97.35530854733614,88.0,98.33524684270954,89.5,
021875.OF,路博迈资源精选A,股票型,主动股票型,3.66,6.16,24.11,21.95,15.97,1.01,455,17.0,97.23183391003461,13.0,97.92387543252595,81.9,
021876.OF,路博迈资源精选C,股票型,主动股票型,3.62,6.09,23.91,21.94,16.0,1.0,455,18.0,97.05882352941177,14.0,97.75086505190312,81.7,
021973.OF,天弘优势企业A,混合型,混合型-偏股,3.99,2.0,16.17,14.56,12.12,0.97,454,674.0,87.1023380605596,267.0,94.9100650593188,83.7,
021974.OF,天弘优势企业C,混合型,混合型-偏股,3.95,1.92,16.03,14.55,12.14,0.96,454,697.0,86.66155615178229,279.0,94.68044393417527,83.4,
021145.OF,银华甄选价值成长A,混合型,混合型-偏股,7.3,15.91,27.91,18.46,13.1,1.4,455,26.0,99.52088922958988,32.0,99.40681209337926,91.6,
021146.OF,银华甄选价值成长C,混合型,混合型-偏股,7.28,15.85,27.81,18.45,13.13,1.4,455,27.0,99.50172479877347,34.0,99.36854190585534,91.6,
021642.OF,富国资源精选A,混合型,混合型-偏股,3.82,7.56,23.66,17.62,12.44,1.23,455,137.0,97.39363740896896,86.0,98.37351703023344,89.7,
021637.OF,长城周期优选C,混合型,混合型-偏股,2.99,7.92,32.57,22.56,12.46,1.35,455,124.0,97.64277500958222,19.0,99.65556831228473,90.3,
