ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
017532.OF,平安研究优选A,混合型,混合型-偏股,2.07,1.66,16.4,17.55,13.67,0.82,455,760.0,85.45419701034879,259.0,95.06314580941446,78.9,
017533.OF,平安研究优选C,混合型,混合型-偏股,2.01,1.57,16.21,17.54,13.73,0.81,455,788.0,84.91759294748947,265.0,94.9483352468427,78.5,
018147.OF,建信新兴市场优选C,混合型,混合型-偏股,2.64,10.52,21.54,22.94,18.52,0.85,421,64.0,98.7926408585665,114.0,97.83773440489858,74.6,
017876.OF,汇添富新能源精选A,混合型,混合型-偏股,4.09,5.36,14.79,19.2,14.46,0.67,455,241.0,95.40053660406286,372.0,92.90088021431303,74.1,
017877.OF,汇添富新能源精选C,混合型,混合型-偏股,4.06,5.29,14.65,19.2,14.48,0.66,455,244.0,95.34304331161364,383.0,92.6903941829315,73.8,
016333.OF,长城产业臻选C,混合型,混合型-偏股,10.95,8.83,18.09,19.61,18.72,0.82,455,93.0,98.23687236489076,198.0,96.230386528894,74.1,
016332.OF,长城产业臻选A,混合型,混合型-偏股,11.01,8.94,18.28,19.62,18.66,0.83,455,89.0,98.31353008815638,191.0,96.36433218522772,74.5,
018023.OF,华商上游产业C,股票型,主动股票型,2.05,2.38,18.66,20.24,14.15,0.82,454,98.0,83.21799307958477,37.0,93.77162629757784,78.8,
015369.OF,国泰海通领航成长一年持有C,混合型,混合型-偏股,1.02,1.22,20.92,23.92,15.99,0.79,455,918.0,82.42621694135684,127.0,97.58897818599311,75.5,
015368.OF,国泰海通领航成长一年持有A,混合型,混合型-偏股,1.05,1.27,21.01,23.92,15.95,0.79,455,899.0,82.79034112686854,124.0,97.64638346727898,75.6,
017916.OF,国寿安保成长优选C,股票型,主动股票型,5.04,7.52,24.71,22.67,23.75,1.0,455,11.0,98.2698961937716,10.0,98.44290657439446,73.3,
017630.OF,富国周期精选三年持有A,混合型,混合型-偏股,2.8,1.33,13.77,15.31,14.41,0.77,455,880.0,83.15446531238022,436.0,91.67623421354764,75.6,
017631.OF,富国周期精选三年持有C,混合型,混合型-偏股,2.78,1.27,13.67,15.31,14.43,0.76,455,900.0,82.77117669605212,448.0,91.44661308840412,75.3,
017787.OF,万家宏观择时多策略C,灵活配置型,混合型-平衡,5.23,12.33,17.64,18.6,13.8,0.84,455,4.0,99.36575052854124,26.0,94.71458773784354,79.5,
015904.OF,广发新能源精选A,股票型,主动股票型,4.31,5.58,16.73,20.61,19.37,0.71,455,27.0,95.50173010380622,48.0,91.86851211072664,70.0,
015145.OF,同泰新能源优选1年持有A,股票型,主动股票型,5.84,2.87,23.0,23.69,19.92,0.89,455,87.0,85.12110726643598,18.0,97.05882352941175,73.8,
015146.OF,同泰新能源优选1年持有C,股票型,主动股票型,5.81,2.83,22.91,23.69,19.93,0.88,455,89.0,84.77508650519032,19.0,96.88581314878893,73.6,
016588.OF,富国融甄A,混合型,混合型-偏股,5.08,5.94,14.64,18.79,10.08,0.67,455,203.0,96.12878497508623,385.0,92.65212399540758,79.5,
016589.OF,富国融甄C,混合型,混合型-偏股,5.05,5.86,14.5,18.78,10.12,0.67,455,207.0,96.05212725182062,391.0,92.53731343283582,79.4,
016238.OF,华夏数字经济龙头C,混合型,混合型-偏股,4.83,4.3,25.35,22.68,19.71,1.03,455,322.0,93.84821770793408,62.0,98.83275928052048,77.9,
016237.OF,华夏数字经济龙头A,混合型,混合型-偏股,4.86,4.35,25.45,22.68,19.68,1.03,455,318.0,93.9248754311997,61.0,98.85189437428244,78.0,
014788.OF,长城产业趋势A,混合型,混合型-偏股,10.83,8.86,18.13,19.5,18.71,0.83,455,91.0,98.27520122652356,196.0,96.26865671641792,74.4,
014789.OF,长城产业趋势C,混合型,混合型-偏股,10.79,8.8,18.0,19.49,18.75,0.82,455,94.0,98.21770793407435,203.0,96.1347110600842,74.1,
016049.OF,华商甄选回报C,混合型,混合型-偏股,0.75,8.98,14.39,16.16,16.17,0.77,454,88.0,98.3326945189728,397.0,92.42250287026408,74.1,
016069.OF,华商研究精选C,灵活配置型,混合型-平衡,5.75,5.45,16.68,17.22,14.5,0.85,454,32.0,93.446088794926,33.0,93.23467230443974,78.4,
014513.OF,金鹰远见优选A,混合型,混合型-偏股,0.08,0.93,18.19,18.12,15.17,0.89,455,1036.0,80.16481410502108,193.0,96.3260619977038,79.4,
014546.OF,浦银安盛兴耀优选一年持有C,混合型,混合型-偏股,5.21,10.86,14.91,18.8,14.54,0.69,455,57.0,98.92679187428134,358.0,93.16877152698048,74.5,
014545.OF,浦银安盛兴耀优选一年持有A,混合型,混合型-偏股,5.29,10.96,15.07,18.8,14.51,0.69,455,56.0,98.94595630509774,338.0,93.55147340221968,74.6,
015383.OF,长城久富C,混合型,混合型-偏股,11.69,10.19,20.32,19.37,17.26,0.95,455,67.0,98.73514756611728,133.0,97.47416762342137,79.1,
013856.OF,嘉实品质发现C,混合型,混合型-偏股,1.12,1.85,14.24,16.22,12.17,0.75,455,715.0,86.31659639708701,408.0,92.21201683888252,78.1,
015384.OF,万家瑞隆C,混合型,混合型-偏股,3.9,4.74,18.69,16.31,17.91,1.02,455,290.0,94.46147949405903,174.0,96.68962877918102,79.0,
013855.OF,嘉实品质发现A,混合型,混合型-偏股,1.16,1.92,14.37,16.23,12.15,0.76,455,696.0,86.6807205825987,400.0,92.3650975889782,78.4,
014654.OF,建信卓越成长一年持有C,混合型,混合型-偏股,6.4,8.33,14.71,20.16,16.6,0.63,455,105.0,98.00689919509392,379.0,92.76693455797933,70.9,
014653.OF,建信卓越成长一年持有A,混合型,混合型-偏股,6.42,8.37,14.8,20.16,16.58,0.63,455,104.0,98.02606362591033,369.0,92.95828549559891,71.0,
015181.OF,汇添富逆向投资C,混合型,混合型-偏股,4.57,6.48,14.73,15.3,12.5,0.83,455,180.0,96.56956688386354,376.0,92.8243398392652,79.5,
015182.OF,汇添富逆向投资D,混合型,混合型-偏股,4.59,6.48,14.79,15.29,12.5,0.84,455,179.0,96.58873131467996,371.0,92.920015308075,79.8,
015158.OF,申万菱信价值精选C,混合型,混合型-偏股,1.13,1.5,15.74,18.47,13.95,0.74,455,809.0,84.51513990034496,296.0,94.35514734022196,76.6,
014838.OF,兴银碳中和主题A,混合型,混合型-偏股,1.72,3.25,13.0,13.89,12.9,0.79,455,450.0,91.39517056343426,512.0,90.22196708763872,77.2,
014839.OF,兴银碳中和主题C,混合型,混合型-偏股,1.71,3.2,12.91,13.89,12.92,0.79,455,456.0,91.28018397853585,518.0,90.10715652506698,77.1,
014995.OF,中欧量化先锋A,混合型,混合型-偏股,-0.57,1.73,12.89,13.32,13.71,0.82,455,739.0,85.85665005749328,523.0,90.01148105625718,76.8,
013771.OF,中加龙头精选A,混合型,混合型-偏股,2.77,1.47,15.62,16.46,12.85,0.83,455,820.0,84.30433116136452,303.0,94.22120168388824,79.7,
013772.OF,中加龙头精选C,混合型,混合型-偏股,2.74,1.42,15.52,16.4,12.87,0.82,455,845.0,83.82522039095439,311.0,94.06812093379256,79.4,
014836.OF,汇添富创新活力C,混合型,混合型-偏股,-0.89,2.78,13.71,14.39,18.13,0.81,455,506.0,90.3219624377156,445.0,91.50401836969002,72.6,
014837.OF,汇添富创新活力D,混合型,混合型-偏股,-0.85,2.86,13.85,14.4,18.11,0.82,455,492.0,90.59026446914528,429.0,91.81017986988137,72.9,
014190.OF,南方专精特新C,混合型,混合型-偏股,2.69,1.13,15.68,17.69,15.27,0.77,455,957.0,81.67880413951706,299.0,94.29774205893608,75.7,
014189.OF,南方专精特新A,混合型,混合型-偏股,2.73,1.2,15.81,17.69,15.25,0.78,455,928.0,82.2345726331928,291.0,94.45082280903176,76.0,
014208.OF,华安产业精选C,混合型,混合型-偏股,0.38,1.39,14.96,15.78,15.29,0.82,455,851.0,83.71023380605595,352.0,93.28358208955224,76.3,
014207.OF,华安产业精选A,混合型,混合型-偏股,0.42,1.45,15.08,15.79,15.28,0.83,455,830.0,84.11268685320046,337.0,93.57060849598165,76.6,
014498.OF,诺安鸿鑫C,混合型,混合型-偏股,3.73,1.44,17.79,20.12,14.02,0.78,455,835.0,84.01686469911843,213.0,95.9433601224646,78.3,
013294.OF,东方红智选三年持有A,混合型,混合型-偏股,4.78,9.04,15.97,19.69,17.14,0.71,455,84.0,98.4093522422384,283.0,94.60390355912745,72.7,
013295.OF,东方红智选三年持有C,混合型,混合型-偏股,4.76,9.0,15.88,19.69,17.15,0.7,455,86.0,98.3710233806056,286.0,94.54649827784156,72.4,
013562.OF,国联匠心优选C,混合型,混合型-偏股,4.7,3.25,18.82,19.33,16.81,0.87,455,452.0,91.35684170180146,169.0,96.7853042479908,77.4,
013561.OF,国联匠心优选A,混合型,混合型-偏股,4.76,3.35,19.12,19.32,16.77,0.89,455,437.0,91.64430816404752,163.0,96.90011481056256,78.0,
012301.OF,易方达核心智造,混合型,混合型-偏股,3.89,5.84,16.73,21.72,17.27,0.68,455,211.0,95.975469528555,249.0,95.25449674703404,71.4,
012174.OF,国泰兴泽优选一年持有期C,混合型,混合型-偏股,0.34,1.35,16.04,16.0,15.77,0.88,455,870.0,83.34610962054427,276.0,94.73784921546115,77.6,
012173.OF,国泰兴泽优选一年持有期A,混合型,混合型-偏股,0.36,1.39,16.12,16.0,15.75,0.88,455,854.0,83.65274051360674,271.0,94.83352468427096,77.6,
013507.OF,华安制造先锋C,混合型,混合型-偏股,6.0,7.79,14.9,19.67,18.08,0.66,455,130.0,97.5277884246838,359.0,93.14963643321852,70.2,
011790.OF,建信创新驱动,混合型,混合型-偏股,7.16,9.47,15.62,20.33,16.22,0.67,455,74.0,98.60099655040246,304.0,94.2020665901263,72.5,
